"Data Source","World Development Indicators",
"Last Updated Date","2021-07-30",
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9814665773.49923","8959424811.08613","5333216050.16673","4979132362.02462","5360070444.72768","5850061875.03828","6306590693.92834","6628399563.03319","7192322810.54708","7536939292.96301","8160045754.95071","9139577172.24627","10509650580.8786","12203500269.3471","13847909043.5482","16264081042.8076","18968092453.3076","22146063400.512","24134635012.4078","20889699218.1128","21598045116.0039","23085520248.3701","27009096448.5442","28500152360.1441","29231468082.419","29166842740.5397","31429192104.4042","35676528915.4363","38432837649.8584","42091960116.6692","39364077035.0845",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","725018275.836669","765850876.2996","792378297.56855","853979799.93012","930450777.449235","908546390.895447","986285438.381148","1058189112.69129","1120726980.9667","1179060284.10002","1280195144.17377","1248774864.26956","1281560907.27004","1384681527.42647","1503964936.73947","1651209567.74817","1917366845.05439","2152280699.07979","2193830738.54859","1946113356.08119","1814425571.79809","1816047262.12083","1771798543.10742","1720170788.92087","1762288334.80494","1769549897.41954","1882863521.88954","1893259104.10692","2073464728.33562","2181204769.77483","1854990178.4467",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","295755679708.594","307387504709.243","317975988860.035","337750629573.261","357997684882.715","377282939127.98","402077608136.676","424498055212.398","452277935860.955","478153359805.698","504134663847.445","531400973465.601","564353642750.787","591584165728.652","630152876506.608","664362022420.762","709707471718.325","761142267134.217","795980320105.904","874191899115.988","865877322217.83","937507114248.881","973601321979.203","1061628486313.88","1100545339758.17","1102402742501.65","1145196792620.93","1192763305275.68","1255451034244.82","1324171341809.51","1349040354247.11",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149145342999.59","159495763417.647","166545749212.916","171389781662.458","179254572750.228","187895841068.847","194997724645.825","202530464280.463","212772428725.153","220639956878.73","235450130397.497","238981890375.598","251984858807.042","260788024528.616","275769919640.967","288086851811.747","310998506693.173","326699481036.73","343812802543","341644243759.125","351609937876.39","373031463577.163","391635006784.26","406370494341.228","417059741085.658","430975998137.236","460282766423.271","476563833452.257","504354829210.452","520804362662.715","491315356730.303",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38372744919.6653","39392724405.9071","31184807120.5419","24549296763.4887","20134034152.067","18130578048.5344","18702567635.4019","20128527266.1494","22390585977.8387","24394687745.178","27708367369.0982","31119426600.9745","34595460526.0767","38835124894.3641","43571124846.9642","57490995233.3418","79645398626.3441","102609960862.443","115685123782.801","127488303325.951","135150732838.323","135803575412.212","148339507564.977","161864879226.656","166328757240.292","144145726475.687","140229738154.492","139152809949.428","144631822683.348","150864843306.307","146111231603.248",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3345350710.32217","3631297001.96551","3751562787.23877","3600803880.10438","3536838974.43132","3325009278.82979","3115019926.50955","3118352162.52856","3303238719.97174","3317086594.10514","3362180905.95967","3506563882.74682","3720415742.34283","3743134142.91074","4029708575.80255","4192628759.83366","4553356025.89181","4837073839.93406","5170900206.2792","5408976901.06728","5752399507.71457","6109378663.94635","6386094258.45455","7069203706.21655","7649427870.69596","8551152238.70251","8358351140.30498","8375481076.5592","8714651910.38732","9033653418.07496","9170284681.78757",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","185820789376.227","195626299253.053","203147044167.315","205959896251.348","217146039918.875","226986232383.393","230441758603.372","241539960530.414","248626123165.287","260168701709.78","284950368057.724","296258534660.922","312900377877.018","320632918897.717","333856768305.508","347658412088.972","371414945627.342","390457830941.967","405729462246.522","407862655447.307","434412405764.091","451932718764.387","469720618339.766","487343797679.386","503619406808.679","520878052195.13","550677647305.861","573788797293.566","601777607556.431","628555971065.059","600544271110.637",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6270776392.92533","6756790491.11146","7115172193.74725","7708842782.36528","8032531107.74704","8696724039.16356","9238920764.78488","9937195423.44491","10447084302.1134","11164002187.4058","12082144945.2969","13005648454.7123","13824774838.4711","14566421816.8017","15621198734.1148","16383743020.1581","17545233924.4818","19095081332.5382","20419698276.0852","21052570732.5208","21748137021.3122","22860459982.9645","24308499989.2082","26709146743.0221","29146860808.5474","30530995255.4114","32668486802.0226","34023063767.8647","37173273024.8114","40434633627.9884","42499509203.8746",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5198089865.15243","5861286333.63528","6008810362.16245","6364091797.82382","6585464592.40789","7107893966.87332","8035293452.18379","8690182135.43683","9430193718.02498","10273801310.7499","10701824788.6934","11659840501.0674","12359848400.9137","13571668356.7838","14561210412.9236","16315345253.9871","17860180506.1432","19093979820.3741","20594373474.422","21366020198.687","23440650603.1545","25515102554.621","26835475975.0516","28735314121.1823","29760893893.8537","31032905189.7743","35340335154.5367","39238401912.359","42885153229.5424","46138562483.9889","47641835093.8841",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87748279415.9364","93877361060.2499","101242629339.485","108524477211.248","115153775330.859","123589357920.103","131544515827.127","139820916424.046","148714667316.249","157907297582.569","169982625545.874","182530878334.241","192525389218.375","205395097099.782","221976241488.929","243850841826.997","267992112040.627","294615766788.069","318408634408.939","337022600321.165","359946756348.42","391220073587.411","443598789939.633","480218563286.77","520423230999.264","555570050290.634","608047366029.664","664403662063.264","733857305702.581","807854884406.747","837063556763.48",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65674733032.4096","62161659703.4314","58954608713.0811","59458078171.6177","61831770322.9653","64930622793.5301","57134779099.1783","47781252464.5517","51005656931.9875","47685776727.4185","52491359569.9721","55759428501.7272","61023403660.0348","65377717601.2734","70947507152.5924","78821953319.0012","86597505830.0945","96548947213.7896","107410874634.607","105648345166.892","110041092250.514","115128518949.148","118702345714.615","120520508488.7","126862335718.758","131666684071.597","142696083169.738","151335235993.4","160952718655.085","171458740185.285","168799470603.113",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13328441546.4484","15326578270.376","16724571519.1555","19324274618.9149","19687578474.7189","20890337553.3145","22147161352.6248","23225888942.0756","24612343435.0628","26041308042.2956","28034516575.2414","29363075270.7015","30826319472.1303","33375800391.1598","36667026445.9921","40368485984.997","44279752026.7835","49240429590.8121","53333105095.2994","55104616844.5009","58162953475.7136","60555691596.7436","65875368137.9427","67716644746.8625","68275971746.1039","62523275420.368","63831285346.3079","71282082008.2729","74249750562.414","77078951541.6154","73476413919.8985",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5508065649.87119","5456210139.49784","5367063571.51474","5511135918.33325","5806066320.76352","6187373827.87086","6566777120.06922","7139314391.78643","6894524069.79519","7847170107.63463","8355467688.45433","8762894151.06505","9142258719.35381","9194285983.47715","9525162366.74014","10155343567.8873","10725995042.9525","11173470267.1725","11126142708.7924","10742814846.6249","11035187274.0635","11334803747.5783","11713379202.2105","11702558408.5268","12287968303.4764","12507352353.2965","12907953054.1602","13856896226.2225","14618974795.5492","15061164616.9253","12762285597.9516",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3752248382.39706","4627759359.38376","8904620685.85119","12173237643.3613","14230648494.793","15821977724.034","17065336100.3798","17843042648.0697","19310193060.8487","20216341050.2347","23342173199.8189","24398081341.1437","27879617163.0059","30804348841.6072","33896568904.3777","33755250256.3323","34666329769.3326","36525544935.8961","37145916732.9068","39027244947.2416","39811669774.4469","41189080577.1119","44265677701.9916","46096435759.0104","49582365425.8008","52311357772.2959","51219399093.5753",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53309645724.9696","54451100765.989","50345559501.8264","47621468558.1377","42947676405.8637","39288001962.2406","41127585825.0277","46606182102.5295","51089722656.2062","53589487606.9613","57965141850.7952","62035672870.9428","66196302880.9147","72174548287.9562","82603919631.1015","93183621908.2178","105603898919.094","117766622690.552","132303186469.252","133578417143.272","145673123596.385","156715098657.899","171037674358.344","179366145726.605","179597949624.117","171204463522.202","168421837005.779","173630155305.786","183398223823.045","189285570275.747","189854158376.212",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","625483643.01866","720766554.93472","826085177.078115","898729100.959422","919374493.919751","944701745.092667","975747583.912255","1027756578.9837","1078200265.4076","1189787564.92142","1374753188.05639","1470679978.72121","1564642132.77564","1742448654.70633","1875068334.98982","1971002518.08006","2128637657.00758","2196988727.36753","2317884973.3694","2340634293.70049","2439029379.03782","2537807474.36965","2458226039.33397","2498498319.23997","2540731967.76194","2611555931.58154","2666078128.51442","2703187932.80396","2848602691.5175","2950508885.97461","2567025968.06982",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2071022027.68145","2065385729.0505","2111192035.03478","2226233607.96634","2287405968.69112","2438105359.31628","2547311067.56444","2710433578.98293","2847836726.73602","2986677006.57941","3337937504.76127","3657520974.81199","3660468836.62029","3855613626.28385","4051323524.73477","4247460210.71958","4618596477.95015","4901313626.55102","4903415338.1953","4662792839.53546","4599062134.44337","4519405326.5993","4370872662.28833","4484628779.9265","4479895049.92416","4688793778.80788","4929475866.99318","5227044136.51153","5329378596.94909","5449462884.82198","",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16301788721.851","17740647232.9365","18443696213.6986","19686750711.5559","21045591879.5865","22492097362.2896","23902853764.9829","25519649885.854","27104797610.0137","27613515778.9731","28938783213.6529","30071493259.3442","31306422312.182","32752399616.3808","35037816332.7326","37726654187.3295","40732857779.2069","43736202874.2244","47328355739.3326","49290089271.3561","51922209178.21","55765337777.5774","61452959663.3131","69841188342.1911","75554052859.3584","77543289209.0962","82736157903.0732","94285208501.691","100626844045.769","104693606232.991","97672052580.2701",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","998501745592.401","1047875888971.03","1066751849864.61","1142971058269.82","1229652192550.25","1310885156401.76","1364355991912.71","1434999308141.79","1456056827513.26","1483991236858.97","1583737935418.29","1640971185024.87","1717826454363.21","1769689532881","1922011086206.48","2045343044816.43","2190727894812.84","2386123366668.17","2556454777931.9","2572703064097.74","2798617241536.23","2970630083312.7","2998534424980.66","3133893649534.8","3187155079572.03","3014754849735.88","2939094210373.69","3018705988834.89","3146320980859.84","3247679577278.92","3153596669112.85",
"Barbados","BRB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2499682342.05141","2483433495.20031","2395437009.3173","2471639172.94472","2575178585.20988","2682127281.87854","2839844909.91611","3025747724.56527","3173886818.17816","3230486447.30124","3449580616.56608","3441856192.52922","3523828107.5899","3667352806.06023","3819247737.69655","4093989531.57469","4466850967.78133","4687849280.29696","4812536630.10609","4602990809.13498","4550155553.50911","4613928269.19212","4343448700.80602","4359599661.30851","4322360546.09697","4425610429.8278","4559037885.70882","4519281462.81962","4600931965.93093","4678563482.67459","3901579109.93322",
"Brunei Darussalam","BRN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14466035683.3185","15425724799.8992","16528036745.5383","16971164870.4373","17878772972.0458","19071188715.597","19979368540.0911","20024891666.3744","20137176323.1266","21051409730.2095","22135261424.2843","23241505278.1541","24523299248.7259","25704091177.389","26529220186.5056","27461594984.134","29536870000.7498","30377197856.8618","30367382091.4862","30058959574.4164","31199547021.6826","33044207206.1251","35209872643.723","33885246844.1847","33344140243.0964","25948980972.9153","23633069098.5308","25891019749.5614","26526507870.9433","28044707669.6547","28725874845.4508",
"Bhutan","BTN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","827796616.455179","852300113.449008","911830292.493627","951975531.020718","1020447473.14175","1115545839.1467","1199190623.44349","1285423168.08347","1376766814.77139","1508152338.48854","1593597378.5948","1764518791.51334","1989458177.16496","2184936045.71166","2378580863.14402","2631404630.98","2900801762.11939","3525644809.26293","3766726573.09193","4051571320.42925","4588418545.30904","5058193225.03562","5551018263.98396","5674556893.9944","6231640988.1671","6915381146.16075","7703914681.55542","8307416844.22731","8766772471.38418","9410886891.74562","8879845293.43659",
"Botswana","BWA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7311440395.27413","8122476552.07025","8549918309.75487","8920196920.7465","9441204616.38289","10316843996.7098","11118212732.4253","12251586973.4691","12444448686.7096","13844526348.0916","14435356004.1532","14788949380.0238","15934693576.5852","16981427226.9309","17910460787.8025","19309899099.436","21558186097.756","23969551061.1671","25961912381.4469","24158001446.5186","26532411467.5074","28724946390.7421","27718549539.3178","30335164691.645","34046222231.4244","32971120138.136","37281291597.4263","38045692207.0873","40704079284.3986","42684364764.206","39791486060.9935",
"Central African Republic","CAF","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1783507771.61103","1833633739.4271","1754942088.07861","1802544884.87085","1931245879.91415","2113707086.80058","2066311325.99374","2213344226.10028","2343457079.34914","2462873910.50581","2455248639.60648","2621127572.36473","2758881202.53287","2658440643.58652","2893672534.09782","3010908030.21931","3250024496.71239","3491097826.2955","3632110885.70067","3974076863.97219","4206561537.35153","4474567487.04114","4889047036.92662","3284695704.66429","3215650000.89682","3536183568.04248","3861897992.35142","4195263790.82987","4458785448.52118","4674532971.27166","4731155027.59879",
"Canada","CAN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","755132917115.608","793403843947.605","846412945809.995","901023409796.483","937268402696.171","971003788233.131","1023161640591.75","1083140946889.99","1171326187910.13","1241168772361.08","1300941860599.35","1342395839240.43","1307952843797.37","1364078564170.92","1430806739876.64","1468097961846.59","1554125000000","1621395561291.92","1594851775821.65","1678092366067.54","1765762548007.76","1862154210814.04","1904502554626.31","1827009986936.08",
"Central Europe and the Baltics","CEB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","784813650653.347","733640820092.528","735808460235.194","764847409673.598","812978206100.585","876115794389.99","918528473672.91","952004137222.819","993385747668.672","1024452982113.13","1086160043598.57","1162602400465.19","1243436647976.94","1313841929451.16","1431571185589.27","1516625518916.18","1680686322515.28","1867997278547.25","2064441330148.37","2064702578549.54","2172178728249.03","2310730227532.92","2386643588985.74","2484363072397.93","2584291857677.77","2697298394227.6","2869220514896.95","3069748752910.47","3271586544790.03","3492127440108.67","3446913868274.92",
"Switzerland","CHE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190833716454.517","195480481294.257","199847875646.407","204325091404.06","211338007280.641","216807014492.423","222517397785.203","232229967565.528","241055729092.289","248740021832.269","264299176951.741","274106112999.532","282753110962.942","284759587843.575","297823953215.462","310493723866.738","347559432950.507","386208985823.934","413714805073.377","413468717749.731","429589963848.447","458820195091.514","479280657897.069","503360260789.332","524917052399.004","546805476343.839","570267482220.765","584052319305.968","610525154410.018","626977038241.996","616262848753.124",
"Channel Islands","CHI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59884081815.8211","66835784908.9752","77143487279.5689","85334370561.9126","93055581461.6072","105725664939.662","116867752281.941","127713472086.193","134736166650.505","136118236224.561","146574191533.23","154736780240.43","162067995583.661","171831210284.975","189179004768.143","206274402670.143","257648250741.941","280051852457.153","275716447509.986","272874099668.727","309886433252.476","350575241993.673","374241571983.029","394291936706.766","404667282590.142","407878247566.655","426776809813.223","451984540685.81","463368859361.469","492274023113.372","479199231790.661",
"China","CHN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1115320250426.59","1259841067910.1","1471842108142.39","1715902290027.75","1981018984207.34","2244107646951.47","2511948013719.24","2791287913776.8","3044172457140.99","3324725650183.3","3687631479659.45","4082650449958.1","4526020825779.07","5072833908567.97","5736264892179.38","6588930215901.39","7651864506954.52","8975592720883.64","10033234295495.5","11059907750616.4","12378807960428.5","13844365195917.5","15124538193948.2","16185063329894.8","17121277216284.5","17796747505545.6","18712096136720.3","19887033884256.7","21739076706358.4","23443654490268.2","24273360028006.3",
"Cote d'Ivoire","CIV","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24493303203.3353","25331969785.6681","25845898315.4938","26407331878.0937","27190020836.2855","29738267099.0274","32623439466.3608","34428330483.6694","36532485321.8448","37659397375.2589","37704903407.3692","38578699259.3449","38535391861.4359","38717398903.2769","40249503255.3041","42217625710.7882","44154536391.7529","46140929547.7493","48234544139.9958","50182540177.5885","51791592985.4775","50553775704.1465","56584389144.1854","62472328771.073","70830156789.7432","108068702923.226","112609566975.11","118051344947.092","129215106318.266","139717847785.103","143978867398.476",
"Cameroon","CMR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21856882108.8161","21735436262.6394","21541612450.1783","20302814809.7409","21176783632.198","22371022744.3836","23774126625.309","25449232599.0397","26894363669.4905","28453642064.0552","30123382459.1011","32128792500.7483","34019889758.5085","36234280995.7724","39732963802.6456","41798500648.445","44552398862.6827","47991918659.0707","50632335349.9686","52140052680.7101","54552906079.4692","57992159983.0529","61350020204.4768","66289532991.1811","72249773159.4018","75964910602.352","81471243200.7112","87320624933.3409","93049737681.0522","98234732671.8702","100150775293.091",
"Congo, Dem. Rep.","COD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30554562461.9227","28927814577.1631","26480409869.7115","23456641042.8441","23023186296.6475","23670484997.8139","23857274380.768","22905484734.2911","22787083115.0838","22128994490.4561","21060176244.7659","21070113824.3506","22034314859.7472","23695372342.8665","25972970911.5783","28425131021.737","30843600275.5443","33654656303.6287","36445343420.1171","37771654915.2451","40927874364.2296","44655249523.1256","46214046396.4042","53767800424.5674","62684684446.4372","69035657196.8067","75926663565.3293","86267287184.0017","93480842340.5166","99321479473.8537","101302062812.91",
"Congo, Rep.","COG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8189654925.57496","8669415443.55531","9098584480.31938","9222906230.85252","8902410702.4167","9451308524.63974","10037296500.3134","10146583050.4993","10644287162.9626","10519144650.5211","11569040902.3656","12272373163.7529","13037691533.866","13387813833.4163","14226217915.9076","15807076328.4554","17586024128.6279","16864049913.386","18276274961.3834","20558681190.979","22863769887.3057","23856263885.5927","28575641891.042","28055516787.2607","28095573770.9106","22531030873.9338","19019213654.3765","21678869677.3071","21123593284.0865","21550589603.2462","20077885513.4441",
"Colombia","COL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165917402799.504","174961647954.883","186187218858.028","200863027329.584","217081121331.289","233163261882.661","242313821463.419","254947667572.913","259286156704.974","251971929037.137","265139277582.619","275501257541.086","286866650068.873","303642993712.837","328447014346.079","355031898592.062","390344576673.224","427839048098.504","450482195444.044","459089499041.974","485313992986.772","529875186711.481","553768023392.023","591783692551.88","625019201607.324","630399533935.377","665398390495.011","693117074956.624","738255956697.645","786356837117.102","741127933021.843",
